Species,Desert
aegaeum,desert
algarvense,desert
amopicum,non-desert
anthericoi,desert
aphroditae,non-desert
aragonense,non-desert
arboreum,desert
articulatu,non-desert
asparagoid,desert
aucheri,non-desert
aureum,non-desert
auriculae-,non-desert
australe,non-desert
avei,non-desert
axillare,desert
beaumieria,desert
bellidifol,non-desert
benmageci,desert
biflorum,non-desert
binervosum,non-desert
bocconei,desert
bollei,desert
bonduellei,desert
bonifacien,desert
bourgeaui,desert
brasiliens,non-desert
brassicifo,desert
braunii,desert
brevipetio,non-desert
brunneri,desert
caesium,desert
californic,non-desert
camposanum,desert
cancellatu,non-desert
capense,desert
carolinian,non-desert
carpathum,non-desert
carpetanic,desert
carthagine,desert
cephalonic,non-desert
cf.,non-desert
chersonesu,non-desert
compactum,non-desert
confusum,non-desert
connivens,non-desert
contortira,non-desert
cordatum,non-desert
cornarianu,non-desert
corsicum,non-desert
cossonianu,desert
costae,desert
cosyrense,desert
craterifor,desert
cumanum,non-desert
cylindrifo,desert
cymuliferu,desert
cythereum,desert
daveaui,non-desert
delicatulu,desert
dendroides,desert
densissimu,desert
dichotomum,desert
dichroanth,non-desert
dodartii,non-desert
dufourii,desert
ebusitanum,desert
echioides,desert
elaphonisi,non-desert
erectum,desert
estevei,desert
fallax,desert
ferganense,desert
flexuosum,non-desert
frederici,non-desert
frutescens,desert
furfuraceu,desert
gibertii,desert
girardianu,non-desert
gmelini,non-desert
gougetianu,non-desert
graecum,desert
greuteri,non-desert
guaicuru,desert
gymnesicum,non-desert
haitense,non-desert
hibericum,non-desert
hierapetra,non-desert
hoeltzeri,desert
humile,non-desert
hyblaeum,non-desert
iconicum,non-desert
imbricatum,desert
insigne,desert
kaschgaric,desert
kraussianu,desert
lanceolatu,non-desert
latebracte,desert
latifolium,non-desert
laxiusculu,non-desert
limbatum,desert
lobatum,desert
lobinii,desert
longebract,desert
lowei,desert
macrophyll,desert
macropteru,desert
majus,desert
meyeri,non-desert
minutiflor,non-desert
minutum,non-desert
mouretii,desert
mucronatum,desert
multifloru,non-desert
multiforme,non-desert
narbonense,non-desert
nydeggeri,non-desert
obtusifoli,desert
ocymifoliu,non-desert
oligotrich,non-desert
otolepis,desert
ovalifoliu,non-desert
papillatum,desert
paulayanum,desert
pectinatum,desert
pectinatum,desert
pectinatum,desert
peregrinum,desert
perezii,desert
perfoliatu,desert
pigadiense,non-desert
platyphyll,non-desert
plurisquam,non-desert
preauxii,desert
proliferum,non-desert
pruinosum,desert
pseudebusi,desert
puberulum,desert
purpuratum,desert
pylium,non-desert
recticaule,non-desert
recurvum,non-desert
remotispic,non-desert
reniforme,desert
rigualii,desert
roridum,non-desert
santapolen,desert
saracinatu,non-desert
sarcophyll,desert
scabrum,non-desert
scopulorum,desert
sieberi,non-desert
sinense,non-desert
sinuatum,desert
sitiacum,non-desert
sokotranum,desert
somalorum,desert
spreitzenh,non-desert
stocksii,desert
subglabrum,desert
suffrutico,desert
supinum,desert
sventenii,desert
tabernense,desert
tenellum,desert
tetragonum,non-desert
thiniense,desert
toletanum,desert
tomentellu,non-desert
tournefort,desert
tuberculat,desert
vigaroense,desert
virgatum,non-desert
vulgare,non-desert
vulgare,non-desert
wrightii,non-desert
